DC	NIR	rededge	red	green	NDVI	NDRE	GNDVI	SAVI
0.91	0.681	0.218	0.045	0.082	0.877	0.515	0.786	0.779
0.80	0.635	0.214	0.040	0.079	0.877	0.495	0.779	0.760
0.81	0.722	0.233	0.046	0.083	0.877	0.512	0.795	0.799
0.89	0.690	0.224	0.042	0.079	0.877	0.510	0.795	0.789
2.06	0.536	0.278	0.061	0.070	0.834	0.318	0.789	0.650
1.92	0.536	0.269	0.053	0.067	0.834	0.332	0.789	0.665
1.73	0.523	0.266	0.054	0.066	0.834	0.326	0.789	0.654
1.80	0.598	0.297	0.054	0.070	0.834	0.336	0.789	0.708
1.99	0.693	0.215	0.043	0.078	0.883	0.527	0.797	0.789
1.94	0.688	0.210	0.042	0.077	0.886	0.532	0.799	0.788
2.01	0.672	0.229	0.049	0.084	0.876	0.492	0.799	0.766
2.00	0.653	0.213	0.043	0.077	0.876	0.507	0.799	0.765
2.13	0.525	0.272	0.058	0.067	0.802	0.318	0.772	0.647
1.90	0.532	0.268	0.052	0.065	0.823	0.330	0.772	0.664
1.80	0.513	0.265	0.053	0.066	0.812	0.319	0.771	0.646
1.66	0.571	0.284	0.052	0.068	0.812	0.335	0.771	0.692
1.45	0.693	0.216	0.043	0.077	0.861	0.524	0.768	0.788
1.53	0.694	0.219	0.040	0.079	0.861	0.521	0.768	0.795
1.47	0.672	0.238	0.050	0.088	0.861	0.477	0.768	0.764
1.37	0.628	0.207	0.040	0.073	0.861	0.504	0.768	0.756
2.07	0.566	0.287	0.056	0.071	0.838	0.327	0.795	0.682
1.90	0.530	0.262	0.047	0.060	0.838	0.338	0.795	0.673
2.04	0.567	0.283	0.054	0.081	0.838	0.334	0.795	0.686
1.91	0.572	0.290	0.057	0.072	0.838	0.327	0.795	0.685
1.36	0.704	0.220	0.044	0.082	0.863	0.524	0.804	0.794
1.26	0.716	0.213	0.042	0.078	0.863	0.542	0.804	0.804
